score,clinic,category,phone,city,email
3,"Dr. Dominique Magnin, Médecine Esthétique, Genève",Médecin,+41 78 808 71 11,Geneva,
3,Docteur Jean-Charles Bayol - Chirurgien esthétique Genève,Chirurgien esthétique,+41 22 335 81 77,Geneva,contact@dr-bayol.ch
3,Dr Veber,Chirurgien esthétique,+41 22 716 27 27,Geneva,SwissBeautySurgeon@gmail.com
3,Med'Esthetique,Centre d'épilation laser,+41 78 249 82 82,Geneva,medesthetique7@gmail.com
3,Leman Aesthetic Clinic - Genève - Chirurgie et Médecine Esthétique,Chirurgien esthétique,+41 22 346 59 56,Geneva,info@leman-clinic.ch
3,Clinique Tobalem | Chirurgie esthétique Genève,Chirurgien plasticien,+41 22 310 28 15,Geneva,info.zh@tobalem.com
3,Dr Dlimi - Chirurgien esthétique Genève,Chirurgien plasticien,+41 78 216 28 14,Geneva,
3,"Clinique Médico Esthétique de Genève, CMEGE",Chirurgien esthétique,+41 22 321 11 22,Geneva,contact@cmege.ch
3,Ärztezentrum Oerlikon,Schönheitsklinik,+41 58 122 55 55,Zürich,info@aerztezentrum-oerlikon.ch
3,Dr. Cynthia A. Wolfensberger,Schönheitsklinik,+41 43 300 99 69,Zürich,cwolfensberger@bluewin.ch
3,Health Beauty Lifestyle AG - Face & Body Clinic,Schönheitsklinik,+41 43 300 99 69,Zürich,reception@hbl-dd.com
3,White Lotus Beauty GmbH,Schönheitssalon,+41 76 306 99 99,Zürich,info@whitelotusbeauty.ch
3,Dermatologie- und Schönheitsklinik Pallas Zürich,Schönheitsklinik,+41 58 335 00 00,Zürich,info@pallas-kliniken.ch
3,Beauty2Go Klinik - Zürich,Schönheitsklinik,+41 44 440 34 34,Zürich,info@beauty2go.ch
3,perfect esthetics - Schönheitsklinik für ästhetische Medizin Zürich,Schönheitsklinik,+41 44 912 03 03,Zürich,schiess@hin.ch
