email,organization,category,phone,city
info@zzn.ch,Zahnmedizinisches Zentrum Dr.Urs Brodbeck,Zahnarzt,+41 44 325 15 15,Zürich
info@zahn-prothetik.ch,Daniel Wirz Zahnprothetik,Zahnarzt,+41 44 321 12 02,Zürich
sekretariat@prophylaxezentrum.ch,Prophylaxe Zentrum Zürich: Höhere Fachschule für Dentalhygiene,Zahnarzt,+41 44 325 15 00,Zürich
mysmile@sso-hin.ch,Dr. Richard Grimmel,Zahnarzt,+41 44 361 00 88,Zürich
info@zahnarztpraxis-seebach.ch,Zahnarztpraxis Seebach,Zahnarzt,+41 44 302 50 35,Zürich
praxis@groebel.net,Zahnarztpraxis HAPPY TEETH AG,Zahnarzt,+41 44 322 65 41,Zürich
info@aerztezentrum-oerlikon.ch,Ärztezentrum Oerlikon,Schönheitsklinik,+41 58 122 55 55,Zürich
alexandra@dentaleurope.ch,Dental Europe GmbH (Zahnarzt in Ungarn),Zahnarzt,+41 44 586 66 00,Zürich
cwolfensberger@bluewin.ch,Dr. Cynthia A. Wolfensberger,Schönheitsklinik,+41 43 300 99 69,Zürich
reception@hbl-dd.com,Health Beauty Lifestyle AG - Face & Body Clinic,Schönheitsklinik,+41 43 300 99 69,Zürich
ernst@ernstdent.ch,Dr. med. dent. Zahnarztpraxis City Bernina,Zahnarzt,+41 44 312 70 27,Zürich
info@whitelotusbeauty.ch,White Lotus Beauty GmbH,Schönheitssalon,+41 76 306 99 99,Zürich
zahnarztoerlikon.sahin@sso-hin.ch,Zahnarztpraxis Oerlikon med. dent. M.Sahin,Zahnarzt,+41 44 310 70 70,Zürich
info@pallas-kliniken.ch,Dermatologie- und Schönheitsklinik Pallas Zürich,Schönheitsklinik,+41 58 335 00 00,Zürich
info@beauty2go.ch,Beauty2Go Klinik - Zürich,Schönheitsklinik,+41 44 440 34 34,Zürich
schiess@hin.ch,perfect esthetics - Schönheitsklinik für ästhetische Medizin Zürich,Schönheitsklinik,+41 44 912 03 03,Zürich
contact@topdent.net,Zahnarztpraxis Georgios Toptsis,Zahnarzt,+41 43 299 30 50,Zürich
info@zahnarztpraxis-jorge.ch,Zahnarztpraxis Fabiana Jorge,Zahnarzt,+41 44 322 24 85,Zürich
praxis@zahnloft.ch,Zahnloft Zürich / Zahnarztpraxis Höngg,Zahnarzt,+41 44 342 44 11,Zürich
info@venustamed.ch,VenustaMed Dr. Kainth,Schönheitsklinik,+41 44 303 90 00,Zürich
info@estomed-clinics.ch,estomed clinics,Schönheitsklinik,+41 44 212 06 06,Zürich
info@esthetica-med.ch,Estheticamed | Schönheitsklinik Zürich,Schönheitsklinik,+41 76 250 50 27,Zürich
info@s-thetic.de,S-thetic Zürich | Schönheitschirurgie & Ästhetische Behandlungen,Schönheitsklinik,+41 44 538 35 80,Zürich
info@facefactory.ch,face factory,Schönheitsklinik,+41 79 100 86 05,Zürich
info@odental.ch,Odental - Cabinet dentaire à Lausanne,Cabinet dentaire,+41 21 624 76 20,Lausanne
info@cdsf.ch,Centre Dentaire de St-François | Membre du Groupe Adent,Cabinet dentaire,+41 21 312 39 42,Lausanne
lausannegrandpont@hellocheeze.ch,Cabinet Dentaire Cheeze du Grand-Pont - Dr. François Reymond et collègues,Cabinet dentaire,+41 21 312 84 84,Lausanne
info@dentairebeaulieu.ch,Cabinet Dentaire Beaulieu,Cabinet dentaire,+41 21 648 36 12,Lausanne
dentiste-vaud@hin.ch,Centre dentaire Benoit Cabri-Wiltzer SA,Dentiste,+41 21 616 33 33,Lausanne
